date,orgn fs1,orgn fs2,orgn fs3,orgn gw1,orgn gw2,orgn gw3
1/27/2019,6.21E-09,6.21E-09,6.21E-09,6.21E-09,6.21E-09,6.21E-09
1/28/2019,5.89E-09,5.89E-09,5.89E-09,5.89E-09,5.89E-09,5.89E-09
1/29/2019,6.15E-09,6.15E-09,6.15E-09,6.15E-09,6.15E-09,6.15E-09
1/30/2019,6.41E-09,6.41E-09,6.41E-09,6.41E-09,6.41E-09,6.41E-09
1/31/2019,6.46E-09,6.46E-09,6.46E-09,6.46E-09,6.46E-09,6.46E-09
2/1/2019,6.49E-09,6.49E-09,6.49E-09,6.49E-09,6.49E-09,6.49E-09
2/2/2019,6.50E-09,6.50E-09,6.50E-09,6.50E-09,6.50E-09,6.50E-09
2/3/2019,6.43E-09,6.43E-09,6.43E-09,6.43E-09,6.43E-09,6.43E-09
2/4/2019,6.45E-09,6.45E-09,6.45E-09,6.45E-09,6.45E-09,6.45E-09
2/5/2019,6.55E-09,6.55E-09,6.55E-09,6.55E-09,6.55E-09,6.55E-09
2/6/2019,6.54E-09,6.54E-09,6.54E-09,6.54E-09,6.54E-09,6.54E-09
2/7/2019,6.70E-09,6.70E-09,6.70E-09,6.70E-09,6.70E-09,6.70E-09
2/8/2019,6.85E-09,6.85E-09,6.85E-09,6.85E-09,6.85E-09,6.85E-09
2/9/2019,6.84E-09,6.84E-09,6.84E-09,6.84E-09,6.84E-09,6.84E-09
2/10/2019,6.85E-09,6.85E-09,6.85E-09,6.85E-09,6.85E-09,6.85E-09
2/11/2019,6.98E-09,6.98E-09,6.98E-09,6.98E-09,6.98E-09,6.98E-09
2/12/2019,7.01E-09,7.01E-09,7.01E-09,7.01E-09,7.01E-09,7.01E-09
2/13/2019,6.91E-09,6.91E-09,6.91E-09,6.91E-09,6.91E-09,6.91E-09
2/14/2019,6.38E-09,6.38E-09,6.38E-09,6.38E-09,6.38E-09,6.38E-09
2/15/2019,6.12E-09,6.12E-09,6.12E-09,6.12E-09,6.12E-09,6.12E-09
2/16/2019,6.53E-09,6.53E-09,6.53E-09,6.53E-09,6.53E-09,6.53E-09
2/17/2019,6.56E-09,6.56E-09,6.56E-09,6.56E-09,6.56E-09,6.56E-09
2/18/2019,6.78E-09,6.78E-09,6.78E-09,6.78E-09,6.78E-09,6.78E-09
2/19/2019,7.30E-09,7.30E-09,7.30E-09,7.30E-09,7.30E-09,7.30E-09
2/20/2019,7.28E-09,7.28E-09,7.28E-09,7.28E-09,7.28E-09,7.28E-09
2/21/2019,7.52E-09,7.52E-09,7.52E-09,7.52E-09,7.52E-09,7.52E-09
2/22/2019,1.85E-02,1.85E-02,1.85E-02,1.85E-02,1.85E-02,1.85E-02
2/23/2019,2.53E-03,2.53E-03,2.53E-03,2.53E-03,2.53E-03,2.53E-03
2/24/2019,3.71E-04,3.71E-04,3.71E-04,3.71E-04,3.71E-04,3.71E-04
2/25/2019,9.06E-05,9.06E-05,9.06E-05,9.06E-05,9.06E-05,9.06E-05
2/26/2019,3.51E-05,3.51E-05,3.51E-05,3.51E-05,3.51E-05,3.51E-05
2/27/2019,1.36E-05,1.36E-05,1.36E-05,1.36E-05,1.36E-05,1.36E-05
2/28/2019,5.23E-06,5.23E-06,5.23E-06,5.23E-06,5.23E-06,5.23E-06
3/1/2019,7.58E-03,7.58E-03,7.58E-03,7.58E-03,7.58E-03,7.58E-03
3/2/2019,1.21E-03,1.21E-03,1.21E-03,1.21E-03,1.21E-03,1.21E-03
3/3/2019,8.71E-02,8.71E-02,8.71E-02,8.71E-02,8.71E-02,8.71E-02
3/4/2019,3.43E-02,3.43E-02,3.43E-02,3.43E-02,3.43E-02,3.43E-02
3/5/2019,0.271,0.271,0.271,0.271,0.271,0.271
3/6/2019,2.12E-02,2.12E-02,2.12E-02,2.12E-02,2.12E-02,2.12E-02
3/7/2019,2.60E-02,2.60E-02,2.60E-02,2.60E-02,2.60E-02,2.60E-02
3/8/2019,2.74E-03,2.74E-03,2.74E-03,2.74E-03,2.74E-03,2.74E-03
3/9/2019,1.37E-03,1.37E-03,1.37E-03,1.37E-03,1.37E-03,1.37E-03
3/10/2019,1.88E-04,1.88E-04,1.88E-04,1.88E-04,1.88E-04,1.88E-04
3/11/2019,4.80E-05,4.80E-05,4.80E-05,4.80E-05,4.80E-05,4.80E-05
3/12/2019,0.297,0.297,0.297,0.297,0.297,0.297
3/13/2019,2.22E-02,2.22E-02,2.22E-02,2.22E-02,2.22E-02,2.22E-02
3/14/2019,2.33E-03,2.33E-03,2.33E-03,2.33E-03,2.33E-03,2.33E-03
3/15/2019,4.52E-04,4.52E-04,4.52E-04,4.52E-04,4.52E-04,4.52E-04
3/16/2019,1.61E-02,1.61E-02,1.61E-02,1.61E-02,1.61E-02,1.61E-02
3/17/2019,1.31E-02,1.31E-02,1.31E-02,1.31E-02,1.31E-02,1.31E-02
3/18/2019,1.40E-03,1.40E-03,1.40E-03,1.40E-03,1.40E-03,1.40E-03
3/19/2019,2.38E-04,2.38E-04,2.38E-04,2.38E-04,2.38E-04,2.38E-04
3/20/2019,5.52E-05,5.52E-05,5.52E-05,5.52E-05,5.52E-05,5.52E-05
3/21/2019,1.47E-05,1.47E-05,1.47E-05,1.47E-05,1.47E-05,1.47E-05
3/22/2019,0.216,0.216,0.216,0.216,0.216,0.216
3/23/2019,1.28,1.28,1.28,1.28,1.28,1.28
3/24/2019,8.10E-02,8.10E-02,8.10E-02,8.10E-02,8.10E-02,8.10E-02
3/25/2019,7.27E-03,7.27E-03,7.27E-03,7.27E-03,7.27E-03,7.27E-03
3/26/2019,9.03E-04,9.03E-04,9.03E-04,9.03E-04,9.03E-04,9.03E-04
3/27/2019,1.52E-04,1.52E-04,1.52E-04,1.52E-04,1.52E-04,1.52E-04
3/28/2019,2.83E-05,2.83E-05,2.83E-05,2.83E-05,2.83E-05,2.83E-05
3/29/2019,6.65E-06,6.65E-06,6.65E-06,6.65E-06,6.65E-06,6.65E-06
3/30/2019,0.626,0.626,0.626,0.626,0.626,0.626
3/31/2019,5.27E-02,5.27E-02,5.27E-02,5.27E-02,5.27E-02,5.27E-02
4/1/2019,4.50E-03,4.50E-03,4.50E-03,4.50E-03,4.50E-03,4.50E-03
